#OTU ID	C002	C003	C007	C010	C011	C012	C018	C021	C024	C042	C048	C052	C054	K100	K105	K106	K108	K113	K119	K124	K125	K301	K304	K306	K309	K316	S010	S020	S030	S050	S080	S100	S110	S120	S130	S150	S180	S200	S210	S220	S240	S260	S280	S290	S320	S330	Y1	Y10	Y11	Y12	Y13	Y14	Y15	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9
C002_249683	27	10	1	35	15	1	0	19	11	1	18	1	0	35	14	13	7	22	1	20	49	9	19	38	0	67	19	26	0	74	9	10	1	7	0	27	6	0	48	0	82	41	8	0	52	0	10	12	0	0	17	30	13	3	0	12	21	33	21	40	0
C018_111028	5	4	5	0	0	1	4	0	0	2	9	1	0	0	1	0	14	4	8	0	0	2	0	2	7	0	6	0	16	1	31	5	0	5	1	2	1	1	5	32	0	0	0	15	0	6	0	4	0	0	0	0	2	0	1	0	3	0	0	0	3
C002_320415	31	5	187	6	4	31	15	2	13	19	28	2	21	22	0	0	3	11	133	3	9	20	1	19	6	67	4	4	25	9	4	0	1	3	0	2	53	3	8	7	5	25	2	19	2	21	3	11	20	8	18	0	5	3	1	17	3	4	4	12	18
C018_75307	4	6	0	0	0	2	18	0	0	1	32	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	9	2	0	0	0	6	0	3	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C002_292079	4	4	2	4	13	2	13	0	0	3	12	0	1	0	0	0	0	0	11	0	1	1	2	0	0	0	2	2	5	0	0	0	6	5	14	0	0	8	12	11	1	0	7	10	0	5	0	0	0	0	0	0	23	0	0	0	2	1	0	0	0
C042_291446	13	0	0	0	0	39	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C003_233864	3	687	0	10	2	1623	320	348	43	852	16	623	1921	694	1470	120	1	4	1	1340	0	5	50	69	701	1	2574	91	307	669	255	1781	2	0	4	2369	2	32	867	1	7	885	77	330	2	571	83	470	0	0	52	1090	1	100	1614	560	375	213	564	1156	110
C007_254386	15	1	45	2	110	0	7	1	1	0	3	7	1	0	0	1	15	7	4	1	0	0	1	4	12	5	0	1	7	0	24	2	3	2	40	29	3	24	0	48	42	6	4	32	0	27	0	7	0	22	5	0	1	0	6	0	3	1	0	18	9
C002_156390	7	0	0	0	1	12	0	0	1	0	13	0	0	0	0	0	6	0	13	0	0	0	2	0	0	0	3	0	40	0	0	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S130_10661	22	0	0	0	0	0	0	0	1	0	0	0	13	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	3	11	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
